Date,Place,Time,Period,Water Level (m),Water Level Percentage (%),Temperature (°C),Vibration on Earth (mg),Rain Gauge Level (mm),Pore Pressure (kPa),Soil Moisture (%),Latitude,Longitude,Distance (km)
2022-05-10,Manali,08:48,Evening,1.4,80.0,22.6,0.03,16.9,134.7,34.1,32.2396,77.1885,24.29
2023-11-02,Manali,08:55,Morning,2.9,76.0,17.7,0.02,31.3,129.8,26.4,32.2396,77.1885,7.49
2020-02-13,Munnar,00:12,Evening,2.5,76.0,28.9,0.02,11.1,107.0,36.0,10.0889,77.0594,44.17
2020-06-06,Shillong,21:49,Night,2.7,84.0,21.2,0.09,16.7,132.9,28.9,25.5788,91.8933,28.62
2020-07-16,Shimla,16:15,Morning,4.0,76.0,21.8,0.09,12.7,131.7,26.7,31.1048,77.1734,19.1
2021-05-04,Shimla,11:39,Afternoon,3.0,64.0,19.4,0.05,34.3,112.5,39.6,31.1048,77.1734,37.1
2020-12-05,Shillong,04:13,Evening,2.8,72.0,15.3,0.07,9.1,138.9,30.6,25.5788,91.8933,32.78
2022-10-21,Manali,08:29,Night,2.0,75.0,24.3,0.08,34.7,128.8,46.2,32.2396,77.1885,20.43
2021-07-08,Dehradun,16:29,Morning,3.6,72.0,25.1,0.02,34.5,122.5,44.9,30.3165,78.0322,2.43
2024-12-19,Dehradun,06:32,Afternoon,1.5,86.0,18.9,0.02,7.3,110.2,31.4,30.3165,78.0322,41.38
2020-10-21,Darjeeling,23:45,Morning,1.6,89.0,18.8,0.06,2.2,108.3,42.9,27.0385,88.2622,30.3
2022-08-18,Manali,05:05,Night,3.4,80.0,27.4,0.02,16.9,136.4,46.7,32.2396,77.1885,29.43
2020-03-31,Shimla,03:10,Night,3.2,87.0,25.3,0.09,26.4,138.5,27.2,31.1048,77.1734,27.92
2020-02-02,Shillong,18:39,Night,2.2,80.0,19.4,0.04,24.5,111.4,25.3,25.5788,91.8933,30.19
2020-09-01,Shillong,17:49,Afternoon,2.2,85.0,17.5,0.02,2.9,124.5,27.4,25.5788,91.8933,22.72
2023-02-03,Manali,13:25,Night,1.2,86.0,15.1,0.07,26.4,112.6,42.3,32.2396,77.1885,8.51
2022-04-18,Darjeeling,08:29,Morning,1.3,81.0,21.3,0.05,17.6,109.5,34.4,27.0385,88.2622,1.18
2023-04-25,Shimla,22:33,Evening,2.4,62.0,25.1,0.03,28.4,112.5,47.8,31.1048,77.1734,48.01
2022-06-08,Darjeeling,00:36,Evening,2.8,77.0,20.0,0.02,6.4,117.5,41.0,27.0385,88.2622,15.88
2020-09-13,Shillong,13:01,Morning,2.1,72.0,26.9,0.01,14.8,139.0,25.5,25.5788,91.8933,28.39
2021-05-08,Shimla,13:40,Evening,1.6,87.0,21.5,0.02,29.4,104.7,42.9,31.1048,77.1734,22.5
2020-08-27,Darjeeling,08:53,Evening,3.9,63.0,16.0,0.05,23.6,126.7,48.5,27.0385,88.2622,2.79
2021-08-08,Darjeeling,07:46,Morning,2.6,79.0,24.3,0.09,2.4,114.0,46.9,27.0385,88.2622,2.64
2024-06-01,Shillong,18:29,Evening,3.7,69.0,15.9,0.04,27.1,122.0,49.3,25.5788,91.8933,41.79
2022-12-02,Manali,18:57,Morning,2.7,80.0,15.7,0.03,32.4,111.0,42.7,32.2396,77.1885,15.43
2024-01-05,Darjeeling,21:02,Evening,1.1,72.0,25.8,0.1,18.8,121.5,46.3,27.0385,88.2622,34.15
2021-05-09,Shillong,03:09,Morning,1.4,79.0,22.8,0.03,26.9,102.1,25.1,25.5788,91.8933,0.7
2023-12-10,Darjeeling,02:25,Evening,1.2,82.0,21.6,0.08,2.6,125.4,39.4,27.0385,88.2622,0.21
2021-08-23,Shillong,03:59,Evening,2.6,89.0,19.7,0.01,7.8,121.1,29.0,25.5788,91.8933,49.27
2023-07-16,Dehradun,09:52,Night,2.8,65.0,29.0,0.04,11.5,112.2,36.8,30.3165,78.0322,5.65
2020-07-05,Shillong,10:26,Night,3.5,87.0,29.1,0.04,28.8,130.5,42.1,25.5788,91.8933,21.69
2023-02-12,Manali,14:58,Morning,2.3,81.0,20.1,0.05,19.7,131.7,25.9,32.2396,77.1885,1.23
2023-01-05,Manali,13:33,Afternoon,2.0,75.0,28.5,0.02,23.0,120.1,30.2,32.2396,77.1885,4.0
2021-07-19,Shimla,03:21,Night,3.6,88.0,17.5,0.02,12.6,104.0,47.2,31.1048,77.1734,31.29
2021-12-29,Shillong,05:48,Evening,3.4,65.0,27.9,0.06,1.2,112.3,45.5,25.5788,91.8933,3.08
2021-01-23,Shillong,20:53,Morning,2.8,84.0,25.2,0.04,27.7,135.6,26.6,25.5788,91.8933,23.55
2020-06-28,Shimla,11:29,Morning,3.7,60.0,25.3,0.05,24.0,129.4,43.0,31.1048,77.1734,1.15
2024-07-26,Darjeeling,20:29,Night,1.8,67.0,16.2,0.06,29.5,102.5,28.8,27.0385,88.2622,23.06
2021-05-07,Manali,09:07,Evening,3.4,80.0,22.7,0.08,1.0,114.7,31.2,32.2396,77.1885,9.25
2024-12-29,Darjeeling,04:52,Morning,2.1,64.0,18.5,0.09,18.2,101.4,43.4,27.0385,88.2622,3.13
2022-12-29,Shillong,05:21,Evening,3.2,71.0,28.5,0.03,1.9,120.2,48.5,25.5788,91.8933,25.36
2020-01-07,Darjeeling,07:41,Morning,3.9,80.0,23.5,0.08,8.0,112.2,30.6,27.0385,88.2622,32.6
2023-04-07,Shillong,03:05,Morning,1.3,68.0,18.5,0.08,14.6,101.1,48.3,25.5788,91.8933,5.73
2023-11-02,Shillong,15:14,Afternoon,2.7,67.0,19.8,0.07,0.2,133.3,44.2,25.5788,91.8933,5.03
2024-03-05,Munnar,05:04,Afternoon,2.7,83.0,15.9,0.06,19.5,112.5,41.0,10.0889,77.0594,23.05
2024-01-15,Dehradun,01:12,Night,1.7,78.0,26.9,0.02,29.4,124.9,29.7,30.3165,78.0322,36.66
2020-11-07,Dehradun,19:51,Afternoon,3.2,70.0,25.9,0.04,28.8,111.4,25.8,30.3165,78.0322,35.62
2021-06-14,Munnar,05:33,Night,3.8,69.0,16.2,0.03,21.9,122.0,31.7,10.0889,77.0594,14.86
2022-09-06,Shimla,13:14,Morning,2.6,75.0,18.4,0.06,7.2,111.2,41.9,31.1048,77.1734,48.37
2024-05-13,Dehradun,03:37,Night,3.9,70.0,30.0,0.02,15.5,128.9,40.8,30.3165,78.0322,38.26
2020-11-19,Darjeeling,18:06,Night,1.2,84.0,25.3,0.06,12.5,125.4,39.6,27.0385,88.2622,48.25
2020-10-13,Manali,18:31,Morning,1.5,70.0,17.6,0.07,7.1,119.6,29.9,32.2396,77.1885,20.25
2024-08-08,Shimla,00:42,Evening,1.6,77.0,26.9,0.03,0.8,137.2,39.5,31.1048,77.1734,34.79
2022-08-16,Manali,12:54,Afternoon,2.0,66.0,28.3,0.06,19.6,131.9,33.6,32.2396,77.1885,6.12
2023-08-18,Dehradun,18:17,Morning,1.2,81.0,27.1,0.05,34.4,135.7,49.8,30.3165,78.0322,27.26
2022-07-23,Shimla,12:44,Night,3.7,62.0,23.7,0.02,23.5,139.9,33.5,31.1048,77.1734,7.12
2020-03-20,Manali,17:48,Night,1.2,83.0,24.6,0.08,32.0,120.1,48.0,32.2396,77.1885,12.49
2023-10-02,Manali,06:53,Afternoon,3.2,66.0,18.9,0.03,4.1,138.4,40.4,32.2396,77.1885,26.49
2023-07-10,Shimla,07:52,Afternoon,2.8,81.0,15.4,0.08,9.0,135.7,29.9,31.1048,77.1734,31.2
2024-03-02,Darjeeling,05:36,Morning,3.1,62.0,27.3,0.01,9.4,108.1,47.8,27.0385,88.2622,26.0
2023-06-29,Dehradun,07:13,Evening,3.2,69.0,28.8,0.1,25.3,129.9,37.0,30.3165,78.0322,39.41
2021-02-20,Dehradun,10:43,Morning,3.4,70.0,23.7,0.02,3.3,117.0,49.6,30.3165,78.0322,33.48
2021-04-01,Manali,09:46,Morning,1.4,77.0,26.0,0.08,13.6,101.7,33.2,32.2396,77.1885,5.05
2021-11-29,Munnar,20:02,Morning,2.1,73.0,24.2,0.05,27.8,114.3,30.1,10.0889,77.0594,16.75
2024-12-02,Darjeeling,18:28,Afternoon,3.8,69.0,29.6,0.03,9.4,107.8,33.8,27.0385,88.2622,21.4
2024-03-05,Munnar,20:17,Night,2.4,69.0,15.4,0.05,9.6,129.4,25.2,10.0889,77.0594,39.96
2022-06-27,Dehradun,17:25,Morning,2.3,65.0,22.3,0.01,15.1,131.5,34.6,30.3165,78.0322,39.34
2021-09-12,Shillong,15:53,Morning,1.5,84.0,27.6,0.03,32.1,107.6,49.9,25.5788,91.8933,41.44
2024-03-16,Shillong,05:25,Morning,4.0,66.0,15.1,0.08,5.9,118.3,32.5,25.5788,91.8933,40.33
2020-10-31,Shimla,23:54,Night,1.6,62.0,24.5,0.05,22.5,127.8,31.5,31.1048,77.1734,30.3
2024-12-16,Munnar,19:33,Afternoon,1.8,75.0,27.4,0.08,7.7,114.6,30.9,10.0889,77.0594,20.7
2022-06-26,Shimla,20:53,Night,2.6,69.0,26.7,0.06,0.1,113.6,32.0,31.1048,77.1734,4.55
2021-07-26,Dehradun,05:24,Night,3.4,81.0,26.1,0.08,9.3,138.8,44.6,30.3165,78.0322,14.62
2021-03-22,Shimla,03:08,Afternoon,1.2,83.0,29.6,0.07,2.1,112.8,26.1,31.1048,77.1734,27.77
2022-07-21,Munnar,05:04,Evening,1.5,77.0,29.2,0.01,33.6,124.7,39.7,10.0889,77.0594,16.56
2020-06-13,Manali,20:24,Afternoon,1.1,82.0,19.4,0.02,10.3,112.3,30.3,32.2396,77.1885,12.12
2021-11-16,Munnar,08:14,Morning,3.7,80.0,27.3,0.09,12.6,127.7,38.5,10.0889,77.0594,48.32
2022-05-10,Shillong,19:23,Morning,2.4,89.0,27.3,0.03,26.7,128.4,36.8,25.5788,91.8933,10.28
2020-03-06,Manali,08:21,Night,3.8,61.0,18.7,0.04,12.9,132.5,40.5,32.2396,77.1885,13.88
2021-05-28,Manali,05:23,Afternoon,2.1,89.0,26.5,0.07,13.0,126.4,47.5,32.2396,77.1885,13.37
2020-01-27,Darjeeling,21:13,Afternoon,1.0,71.0,22.7,0.03,26.2,102.9,38.2,27.0385,88.2622,40.47
2020-01-13,Munnar,20:53,Evening,2.6,88.0,16.9,0.09,27.3,113.1,46.8,10.0889,77.0594,43.45
2021-11-19,Manali,03:17,Afternoon,2.7,88.0,17.2,0.07,27.5,128.8,27.0,32.2396,77.1885,38.29
2020-01-18,Munnar,11:48,Morning,3.2,66.0,25.5,0.02,13.3,117.9,42.7,10.0889,77.0594,21.91
2020-11-06,Shimla,22:21,Evening,2.0,78.0,27.7,0.09,22.5,113.0,44.1,31.1048,77.1734,29.85
2022-12-21,Shillong,04:23,Night,1.3,87.0,20.2,0.07,24.2,105.3,26.3,25.5788,91.8933,25.87
2022-11-15,Manali,04:29,Evening,2.7,84.0,16.2,0.05,31.0,114.1,42.1,32.2396,77.1885,44.5
2022-12-25,Darjeeling,00:36,Night,1.4,81.0,28.2,0.06,4.9,130.3,46.9,27.0385,88.2622,41.12
2020-05-06,Shimla,01:28,Morning,3.2,65.0,28.7,0.09,4.8,107.3,31.3,31.1048,77.1734,40.92
2023-03-04,Manali,14:35,Morning,1.0,69.0,27.1,0.1,24.5,137.1,31.7,32.2396,77.1885,49.03
2024-08-05,Darjeeling,07:07,Night,3.0,85.0,16.2,0.03,11.7,124.2,45.9,27.0385,88.2622,16.81
2024-03-18,Manali,11:16,Night,1.3,71.0,16.7,0.05,30.1,104.2,47.6,32.2396,77.1885,24.25
2022-02-01,Munnar,06:41,Afternoon,1.5,83.0,21.9,0.06,34.7,124.1,42.9,10.0889,77.0594,34.75
2023-10-14,Shillong,00:36,Morning,2.0,64.0,27.4,0.03,1.5,117.0,35.9,25.5788,91.8933,38.71
2024-07-09,Shimla,15:22,Evening,2.6,72.0,28.4,0.02,3.9,118.6,38.7,31.1048,77.1734,26.76
2024-07-14,Shillong,21:13,Afternoon,2.0,75.0,18.3,0.05,10.2,103.8,44.5,25.5788,91.8933,1.76
2023-05-10,Shimla,10:13,Morning,1.9,69.0,25.9,0.02,29.7,118.6,43.7,31.1048,77.1734,31.45
2020-05-15,Munnar,21:40,Evening,3.4,88.0,24.6,0.01,13.9,135.2,45.0,10.0889,77.0594,8.97
2022-02-22,Munnar,15:12,Morning,3.9,73.0,24.0,0.04,13.0,130.5,46.4,10.0889,77.0594,38.24
2020-04-15,Shillong,23:52,Morning,1.8,77.0,23.8,0.05,4.4,102.6,39.1,25.5788,91.8933,7.53
2021-11-02,Shimla,13:31,Afternoon,3.2,82.0,21.3,0.01,2.2,113.8,27.7,31.1048,77.1734,37.09
2022-07-08,Dehradun,01:22,Afternoon,4.0,76.0,27.4,0.08,34.7,135.6,34.9,30.3165,78.0322,35.15
2020-05-29,Shimla,16:07,Morning,1.2,62.0,28.4,0.07,18.8,138.1,33.1,31.1048,77.1734,27.9
2023-08-05,Shillong,19:29,Night,1.9,70.0,23.0,0.03,0.4,122.6,38.8,25.5788,91.8933,22.74
2022-11-04,Manali,12:57,Afternoon,1.2,87.0,26.4,0.09,25.2,130.7,28.5,32.2396,77.1885,28.92
2023-08-02,Shillong,00:21,Evening,2.5,86.0,18.6,0.05,9.4,102.9,34.4,25.5788,91.8933,1.09
2021-10-19,Dehradun,05:00,Afternoon,3.9,79.0,18.2,0.04,6.8,103.6,31.5,30.3165,78.0322,5.93
2022-07-07,Shillong,08:42,Afternoon,2.2,64.0,21.1,0.04,10.5,119.8,39.7,25.5788,91.8933,19.91
2022-01-06,Dehradun,23:38,Morning,3.9,74.0,24.7,0.09,24.2,114.5,38.0,30.3165,78.0322,49.18
2020-10-06,Dehradun,20:00,Morning,3.8,80.0,27.5,0.07,8.2,134.0,33.6,30.3165,78.0322,28.37
2022-12-12,Shillong,21:01,Night,2.6,80.0,16.3,0.02,29.5,136.4,35.1,25.5788,91.8933,35.94
2024-02-05,Dehradun,17:01,Night,3.7,84.0,30.0,0.09,9.1,107.6,44.7,30.3165,78.0322,29.16
2023-12-02,Manali,06:48,Afternoon,2.2,81.0,23.3,0.07,31.9,125.1,38.3,32.2396,77.1885,38.43
2021-09-15,Munnar,19:44,Evening,3.9,70.0,15.3,0.03,19.8,112.8,29.9,10.0889,77.0594,33.08
2021-04-26,Shillong,21:08,Evening,1.9,82.0,17.8,0.06,27.5,139.6,36.8,25.5788,91.8933,29.44
2020-11-08,Manali,22:24,Night,3.8,72.0,27.3,0.1,32.9,112.5,46.7,32.2396,77.1885,26.82
2024-05-24,Manali,16:23,Morning,1.4,87.0,29.1,0.08,15.1,111.4,36.3,32.2396,77.1885,46.91
2023-04-15,Manali,01:49,Night,3.9,85.0,15.7,0.1,25.4,120.2,38.2,32.2396,77.1885,31.21
2024-06-14,Darjeeling,02:26,Afternoon,3.4,78.0,29.0,0.02,19.9,132.3,29.4,27.0385,88.2622,24.7
2020-09-26,Shimla,08:05,Afternoon,1.4,70.0,20.8,0.1,8.5,103.5,39.2,31.1048,77.1734,46.05
2024-10-20,Dehradun,15:17,Afternoon,2.1,62.0,18.8,0.05,14.1,109.1,45.3,30.3165,78.0322,17.84
2020-12-06,Shimla,15:40,Morning,2.3,78.0,18.0,0.08,24.6,118.9,29.7,31.1048,77.1734,4.65
2021-05-07,Darjeeling,13:36,Morning,2.1,89.0,20.2,0.03,33.5,106.0,32.0,27.0385,88.2622,41.54
2024-11-09,Shimla,14:14,Evening,1.2,64.0,21.1,0.03,8.6,109.0,32.8,31.1048,77.1734,31.97
2022-04-06,Dehradun,10:45,Afternoon,1.5,73.0,19.1,0.09,29.1,132.3,42.2,30.3165,78.0322,7.06
