Intent,Entity,Response
First Aid Guide,flood,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,mental_health,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,heatwave,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,drowning,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,earthquake,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,shelter,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,sprain,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,food_and_water,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,sprain,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,pandemic,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,shelter,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,cut,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,sprain,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,cut,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,cut,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,drowning,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,fracture,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,shock,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,cut,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,cut,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,food_and_water,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,earthquake,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,cut,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,flood,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,shelter,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,tornado,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,tornado,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,burn,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,drowning,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,shelter,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,earthquake,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,burn,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,food_and_water,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,wildfire,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,volcano,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,bleeding,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,wildfire,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,burn,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,burn,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,evacuation,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,fracture,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,sprain,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,tornado,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,burn,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,heatwave,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,mental_health,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,shock,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,tornado,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,mental_health,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,mental_health,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,earthquake,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,food_and_water,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,pandemic,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,food_and_water,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,pandemic,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,shelter,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,volcano,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,earthquake,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,shock,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,evacuation,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,sprain,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,cut,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,wildfire,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,pandemic,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,bleeding,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,bleeding,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,evacuation,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,flood,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,mental_health,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,earthquake,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,food_and_water,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,burn,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,hurricane,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,cut,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,earthquake,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,burn,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,shock,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,shock,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,hurricane,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,pandemic,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,burn,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,tornado,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,fracture,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,heatwave,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,flood,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,burn,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,shelter,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,earthquake,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,food_and_water,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,heatwave,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,pandemic,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,flood,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,burn,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,drowning,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,wildfire,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,wildfire,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,shock,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,volcano,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,wildfire,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,mental_health,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,wildfire,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,fracture,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,food_and_water,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,volcano,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,heatwave,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,cut,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,pandemic,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,evacuation,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,cut,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,tornado,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,evacuation,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,tornado,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,shock,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,wildfire,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,drowning,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,mental_health,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,earthquake,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,flood,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,tornado,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,earthquake,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,pandemic,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,mental_health,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,shock,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,shelter,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,bleeding,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,sprain,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,shelter,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,shelter,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,flood,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,bleeding,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,drowning,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,hurricane,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,shelter,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,cut,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,volcano,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,bleeding,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,evacuation,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,pandemic,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,heatwave,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,shelter,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,sprain,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,mental_health,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,pandemic,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,earthquake,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,wildfire,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,hurricane,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,fracture,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,cut,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,flood,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,cut,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,heatwave,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,evacuation,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,flood,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,flood,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,mental_health,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,fracture,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,volcano,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,mental_health,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,evacuation,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,bleeding,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,shock,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,fracture,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,volcano,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,drowning,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,pandemic,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,evacuation,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
